IPN,name,description,category,keywords,units,purchase_price
207540,1.060 OD INSERT,1.060 OD INSERT,Jaw Inserts,shared,ea,39.59
207541,1.060 OD INSERT SET,1.060 OD INSERT SET,Jaw Inserts,shared,ea,170.00
208401,1.130 FITTING INSERT,1.130 FITTING INSERT,Jaw Inserts,shared,ea,110.00
208402,1.130 fitting insert set,1.130 fitting insert set,Jaw Inserts,shared,ea,204.00
208006,1.250 fitting insert set,1.250 fitting insert set,Jaw Inserts,shared,ea,204.00
207510,1.25DIA INSERT,1.25DIA INSERT,Jaw Inserts,shared,ea,38.62
207520,1.25dia insert set,1.25dia insert set,Jaw Inserts,shared,ea,175.00
208101,1.320 fitting insert,1.320 fitting insert,Jaw Inserts,shared,ea,106.00
208102,1.320 fitting insert set,1.320 fitting insert set,Jaw Inserts,shared,ea,204.00
207542,1.349 OD INSERT,1.349 OD INSERT,Jaw Inserts,shared,ea,39.59
207543,1.349 OD INSERT SET,1.349 OD INSERT SET,Jaw Inserts,shared,ea,170.00
207539,1.50DIA INSERT,1.50DIA INSERT,Jaw Inserts,shared,ea,43.46
207538,1.50DIA INSERT SET,1.50DIA INSERT SET,Jaw Inserts,shared,ea,170.00
214401,1.630 FITTING INSERT,1.630 FITTING INSERT,Jaw Inserts,shared,ea,74.51
212303,1.688 FITTING INSERT,1.688 FITTING INSERT,Jaw Inserts,shared,ea,55.78
212304,1.688 fitting insert set,1.688 fitting insert set,Jaw Inserts,shared,ea,204.00
212305,1.750 FITTING INSERT,1.750 FITTING INSERT,Jaw Inserts,shared,ea,59.58
212306,1.750 fitting insert set,1.750 fitting insert set,Jaw Inserts,shared,ea,204.00
207544,1.780 OD INSERT,1.780 OD INSERT,Jaw Inserts,shared,ea,39.59
207545,1.780 od insert set,1.780 od insert set,Jaw Inserts,shared,ea,279.00
SW12101,1.821 FITTING INSERT,1.821 FITTING INSERT,Jaw Inserts,shared,ea,139.00
SW12102,1.821 fitting insert set,1.821 fitting insert set,Jaw Inserts,shared,ea,368.00
212301,1.875 FITTING INSERT,1.875 FITTING INSERT,Jaw Inserts,shared,ea,58.73
212302,1.875 fitting insert set,1.875 fitting insert set,Jaw Inserts,shared,ea,204.00
213901,1.993 FITTING INSERT,1.993 FITTING INSERT,Jaw Inserts,shared,ea,67.73
213902,1.993 FITTING INSERT SET,1.993 FITTING INSERT SET,Jaw Inserts,shared,ea,163.00
MJQ00515,"1/2 sq carb cut insert, 1/32r","1/2 sq carb cut insert, 1/32r",Jaw Inserts,shared,ea,42.13
MJQ00572,"1/2 sq carb cut insert, 1/8 r","1/2 sq carb cut insert, 1/8 r",Jaw Inserts,shared,ea,42.13
207506,1/2cts insert,1/2cts insert,Jaw Inserts,shared,ea,50.46
CTS07502,1/2CTS INSERT,1/2CTS INSERT,Jaw Inserts,shared,ea,22.32
207516,1/2cts insert set,1/2cts insert set,Jaw Inserts,shared,ea,175.00
CTS07501,1/2cts insert set,1/2cts insert set,Jaw Inserts,shared,ea,114.00
CTS15018,1/2cts ratchet fcr insert set,1/2cts ratchet fcr insert set,Jaw Inserts,shared,ea,58.53
207511,1/2ips insert,1/2ips insert,Jaw Inserts,shared,ea,50.46
CTS07402,1/2IPS INSERT,1/2IPS INSERT,Jaw Inserts,shared,ea,22.32
207521,1/2ips insert set,1/2ips insert set,Jaw Inserts,shared,ea,175.00
CTS07401,1/2ips insert set,1/2ips insert set,Jaw Inserts,shared,ea,114.00
207558,1/2ips insert set (2 pieces),1/2ips insert set (2 pieces),Jaw Inserts,shared,ea,88.27
CTS15022,1/2ips ratchet fcr insert set,1/2ips ratchet fcr insert set,Jaw Inserts,shared,ea,58.53
24206104,10.20 ODX11-1/4 MIT INSERT SET,10.20 ODX11-1/4 MIT INSERT SET,Jaw Inserts,shared,ea,3791.00
24206102,10.20 ODX11-1/4 MIT LWR INSERT,10.20 ODX11-1/4 MIT LWR INSERT,Jaw Inserts,shared,ea,1264.00
24206103,10.20 ODX11-1/4 MIT UPR INSERT,10.20 ODX11-1/4 MIT UPR INSERT,Jaw Inserts,shared,ea,1238.00
1214259,10.400 OD INSERT,10.400 OD INSERT,Jaw Inserts,shared,ea,328.00
1214260,10.400 OD INSERT SET,10.400 OD INSERT SET,Jaw Inserts,shared,ea,1963.00
7851101,1000mm insert set,1000mm insert set,Jaw Inserts,shared,ea,127554.00
4819604,1000MM JAW INSERT RIM,1000MM JAW INSERT RIM,Jaw Inserts,shared,ea,365.00
4813109,1000MM LOWER JAW INSERT,1000MM LOWER JAW INSERT,Jaw Inserts,shared,ea,2569.00
4813110,1000MM UPPER JAW INSERT,1000MM UPPER JAW INSERT,Jaw Inserts,shared,ea,2569.00
716920,100mm hdpe jaw insert set,100mm hdpe jaw insert set,Jaw Inserts,shared,ea,854.00
410110,100MM INSERT,100MM INSERT,Jaw Inserts,shared,ea,86.31
410111,100MM INSERT SET,100MM INSERT SET,Jaw Inserts,shared,ea,216.00
SW10104,100MM J/C INSERT SET,100MM J/C INSERT SET,Jaw Inserts,shared,ea,220.00
716806,100mm pp jaw insert set,100mm pp jaw insert set,Jaw Inserts,shared,ea,547.00
1207231,10dips 2j insert set,10dips 2j insert set,Jaw Inserts,shared,ea,1029.00
1207220,10dips insert,10dips insert,Jaw Inserts,shared,ea,256.00
24206116,10dipsx11-1/4 mit insert set,10dipsx11-1/4 mit insert set,Jaw Inserts,shared,ea,6963.00
24206114,10DIPSX11-1/4 MIT LOWER INSERT,10DIPSX11-1/4 MIT LOWER INSERT,Jaw Inserts,shared,ea,1264.00
24206115,10DIPSX11-1/4 MIT UPPER INSERT,10DIPSX11-1/4 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
24206119,10DIPSX15 MIT INSERT SET,10DIPSX15 MIT INSERT SET,Jaw Inserts,shared,ea,3791.00
24206117,10DIPSX15 MIT LOWER INSERT,10DIPSX15 MIT LOWER INSERT,Jaw Inserts,shared,ea,1264.00
24206118,10DIPSX15 MIT UPPER INSERT,10DIPSX15 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
24206128,10dipsx22-1/2 mit insert set,10dipsx22-1/2 mit insert set,Jaw Inserts,shared,ea,6963.00
24206126,10dipsx22-1/2 mit lower insert,10dipsx22-1/2 mit lower insert,Jaw Inserts,shared,ea,1935.00
24206127,10dipsx22-1/2 mit upper insert,10dipsx22-1/2 mit upper insert,Jaw Inserts,shared,ea,1935.00
1207229,10ips 2j insert set,10ips 2j insert set,Jaw Inserts,shared,ea,1029.00
31503803,10ips acrobat 315mm insert,10ips acrobat 315mm insert,Jaw Inserts,shared,ea,267.00
1207202,10ips insert,10ips insert,Jaw Inserts,shared,ea,264.00
835803,10IPS SIDEWALL INSERT,10IPS SIDEWALL INSERT,Jaw Inserts,shared,ea,142.00
835813,10ips sidewall insert set,10ips sidewall insert set,Jaw Inserts,shared,ea,424.00
1214232,10ipsx11-1/4 mit insert set,10ipsx11-1/4 mit insert set,Jaw Inserts,shared,ea,3173.00
1214214,10IPSX11-1/4 MIT LOWER INSERT,10IPSX11-1/4 MIT LOWER INSERT,Jaw Inserts,shared,ea,727.00
1214215,10IPSX11-1/4 MIT UPPER INSERT,10IPSX11-1/4 MIT UPPER INSERT,Jaw Inserts,shared,ea,713.00
2420674,10IPSX15 MIT INSERT SET,10IPSX15 MIT INSERT SET,Jaw Inserts,shared,ea,3791.00
1214266,10IPSX15 MIT INSERT SET,10IPSX15 MIT INSERT SET,Jaw Inserts,shared,ea,2129.00
2420654,10IPSX15 MIT LOWER INSERT,10IPSX15 MIT LOWER INSERT,Jaw Inserts,shared,ea,1264.00
1214264,10IPSX15 MIT LOWER INSERT,10IPSX15 MIT LOWER INSERT,Jaw Inserts,shared,ea,727.00
2420655,10IPSX15 MIT UPPER INSERT,10IPSX15 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
1214265,10IPSX15 MIT UPPER INSERT,10IPSX15 MIT UPPER INSERT,Jaw Inserts,shared,ea,713.00
2420680,10ipsx22-1/2 mit insert set,10ipsx22-1/2 mit insert set,Jaw Inserts,shared,ea,6963.00
2420666,10IPSX22-1/2 MIT LOWER INSERT,10IPSX22-1/2 MIT LOWER INSERT,Jaw Inserts,shared,ea,1264.00
2420667,10IPSX22-1/2 MIT UPPER INSERT,10IPSX22-1/2 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
1207235,11.5 od insert set,11.5 od insert set,Jaw Inserts,shared,ea,2193.00
2427303,11.50 OD INSERT SET,11.50 OD INSERT SET,Jaw Inserts,shared,ea,3690.00
2427302,11.50 OD LOWER INSERT,11.50 OD LOWER INSERT,Jaw Inserts,shared,ea,619.00
2427301,11.50 OD UPPER INSERT,11.50 OD UPPER INSERT,Jaw Inserts,shared,ea,619.00
4813125,1100MM LOWER JAW INSERT,1100MM LOWER JAW INSERT,Jaw Inserts,shared,ea,2569.00
4813126,1100MM UPPER JAW INSERT,1100MM UPPER JAW INSERT,Jaw Inserts,shared,ea,2569.00
4813145,1100mmx11-1/4 mit insert set,1100mmx11-1/4 mit insert set,Jaw Inserts,shared,ea,22733.00
809324,110mm 2j insert set,110mm 2j insert set,Jaw Inserts,shared,ea,451.00
448203,110MM COUPLING INSERT,110MM COUPLING INSERT,Jaw Inserts,shared,ea,39.83
448201,110MM COUPLING INSERT W/STOPS,110MM COUPLING INSERT W/STOPS,Jaw Inserts,shared,ea,39.83
716921,110mm hdpe jaw insert,110mm hdpe jaw insert,Jaw Inserts,shared,ea,112.00
716922,110mm hdpe jaw insert set,110mm hdpe jaw insert set,Jaw Inserts,shared,ea,854.00
809303,110mm insert,110mm insert,Jaw Inserts,shared,ea,123.00
410104,110mm insert,110mm insert,Jaw Inserts,shared,ea,92.70
809305,110mm insert set,110mm insert set,Jaw Inserts,shared,ea,902.00
410105,110mm insert set,110mm insert set,Jaw Inserts,shared,ea,377.00
851801,110MM KNIFE EDGE INSERT SET,110MM KNIFE EDGE INSERT SET,Jaw Inserts,shared,ea,1514.00
448401,110MM NARROW INSERT,110MM NARROW INSERT,Jaw Inserts,shared,ea,60.93
448303,110mm pipe insert,110mm pipe insert,Jaw Inserts,shared,ea,66.60
716803,110mm pp jaw insert,110mm pp jaw insert,Jaw Inserts,shared,ea,71.80
716804,110mm pp jaw insert set,110mm pp jaw insert set,Jaw Inserts,shared,ea,547.00
410307,110MM SIDEWALL INSERT,110MM SIDEWALL INSERT,Jaw Inserts,shared,ea,142.00
410309,110mm sidewall insert set,110mm sidewall insert set,Jaw Inserts,shared,ea,137.00
807893,110mmx11-1/4 mit insert set,110mmx11-1/4 mit insert set,Jaw Inserts,shared,ea,2483.00
1214255,110mmx11-1/4 mit insert set,110mmx11-1/4 mit insert set,Jaw Inserts,shared,ea,3173.00
807891,110MMX11-1/4 MIT LOWER INSERT,110MMX11-1/4 MIT LOWER INSERT,Jaw Inserts,shared,ea,555.00
1214253,110MMX11-1/4 MIT LOWER INSERT,110MMX11-1/4 MIT LOWER INSERT,Jaw Inserts,shared,ea,707.00
807892,110MMX11-1/4 MIT UPPER INSERT,110MMX11-1/4 MIT UPPER INSERT,Jaw Inserts,shared,ea,555.00
1214254,110MMX11-1/4 MIT UPPER INSERT,110MMX11-1/4 MIT UPPER INSERT,Jaw Inserts,shared,ea,693.00
8078138,110mmx15 mit insert set,110mmx15 mit insert set,Jaw Inserts,shared,ea,2483.00
8078136,110mmx15 mit lower insert,110mmx15 mit lower insert,Jaw Inserts,shared,ea,681.00
8078137,110mmx15 mit upper insert,110mmx15 mit upper insert,Jaw Inserts,shared,ea,681.00
4821502,1180MM (46.457) FAB INSERT,1180MM (46.457) FAB INSERT,Jaw Inserts,shared,ea,1546.00
4821501,1180MM FAB INSERT SET,1180MM FAB INSERT SET,Jaw Inserts,shared,ea,11130.00
4813139,1180MM INSERT SET,1180MM INSERT SET,Jaw Inserts,shared,ea,14236.00
4813137,1180MM LOWER INSERT,1180MM LOWER INSERT,Jaw Inserts,shared,ea,2587.00
4813138,1180MM UPPER INSERT,1180MM UPPER INSERT,Jaw Inserts,shared,ea,2587.00
2420629,12.24 ODX11-1/4 MIT INSERT SET,12.24 ODX11-1/4 MIT INSERT SET,Jaw Inserts,shared,ea,3791.00
2420627,12.24 ODX11-1/4 MIT LWR INSERT,12.24 ODX11-1/4 MIT LWR INSERT,Jaw Inserts,shared,ea,1238.00
2420628,12.24 ODX11-1/4 MIT UPR INSERT,12.24 ODX11-1/4 MIT UPR INSERT,Jaw Inserts,shared,ea,1238.00
2420632,12.43 ODX11-1/4 MIT INSERT SET,12.43 ODX11-1/4 MIT INSERT SET,Jaw Inserts,shared,ea,3791.00
2420630,12.43 ODX11-1/4 MIT LWR INSERT,12.43 ODX11-1/4 MIT LWR INSERT,Jaw Inserts,shared,ea,1238.00
2420631,12.43 ODX11-1/4 MIT UPR INSERT,12.43 ODX11-1/4 MIT UPR INSERT,Jaw Inserts,shared,ea,1238.00
2411820,12.550 OD INSERT SET,12.550 OD INSERT SET,Jaw Inserts,shared,ea,3041.00
2411818,12.550 OD LOWER INSERT,12.550 OD LOWER INSERT,Jaw Inserts,shared,ea,770.00
2411819,12.550 OD UPPER INSERT,12.550 OD UPPER INSERT,Jaw Inserts,shared,ea,770.00
4811901,1200MM INSERT KEEPER,1200MM INSERT KEEPER,Jaw Inserts,shared,ea,216.00
7851201,1200mm insert set,1200mm insert set,Jaw Inserts,shared,ea,127554.00
4819502,1200MM UPR/LWR JAW INSERT WLD,1200MM UPR/LWR JAW INSERT WLD,Jaw Inserts,shared,ea,1653.00
809330,120mm 2j insert set,120mm 2j insert set,Jaw Inserts,shared,ea,451.00
809438,125mm 2j insert set,125mm 2j insert set,Jaw Inserts,shared,ea,543.00
448003,125mm coupling insert,125mm coupling insert,Jaw Inserts,shared,ea,66.60
454501,125MM COUPLING INSERT ASSY,125MM COUPLING INSERT ASSY,Jaw Inserts,shared,ea,350.00
452603,125mm flange insert,125mm flange insert,Jaw Inserts,shared,ea,144.00
716923,125mm hdpe jaw insert,125mm hdpe jaw insert,Jaw Inserts,shared,ea,112.00
716924,125mm hdpe jaw insert set,125mm hdpe jaw insert set,Jaw Inserts,shared,ea,854.00
809407,125mm insert,125mm insert,Jaw Inserts,shared,ea,149.00
809413,125mm insert set,125mm insert set,Jaw Inserts,shared,ea,1078.00
809441,125MM JIS 2J INSERT SET,125MM JIS 2J INSERT SET,Jaw Inserts,shared,ea,331.00
851901,125MM KNIFE EDGE INSERT SET,125MM KNIFE EDGE INSERT SET,Jaw Inserts,shared,ea,1514.00
448101,125MM PIPE C'SUNK INSERT,125MM PIPE C'SUNK INSERT,Jaw Inserts,shared,ea,290.00
448103,125mm pipe insert,125mm pipe insert,Jaw Inserts,shared,ea,66.60
716840,125mm pp 2j jaw insert set,125mm pp 2j jaw insert set,Jaw Inserts,shared,ea,278.00
716801,125mm pp jaw insert,125mm pp jaw insert,Jaw Inserts,shared,ea,78.97
716802,125mm pp jaw insert set,125mm pp jaw insert set,Jaw Inserts,shared,ea,602.00
410406,125MM SIDEWALL INSERT,125MM SIDEWALL INSERT,Jaw Inserts,shared,ea,142.00
410407,125mm sidewall insert set,125mm sidewall insert set,Jaw Inserts,shared,ea,218.00
807896,125mmx11-1/4 mit insert set,125mmx11-1/4 mit insert set,Jaw Inserts,shared,ea,2483.00
12142108,125mmx11-1/4 mit insert set,125mmx11-1/4 mit insert set,Jaw Inserts,shared,ea,3173.00
807894,125MMX11-1/4 MIT LOWER INSERT,125MMX11-1/4 MIT LOWER INSERT,Jaw Inserts,shared,ea,555.00
12142106,125mmx11-1/4 mit lower insert,125mmx11-1/4 mit lower insert,Jaw Inserts,shared,ea,874.00
807895,125MMX11-1/4 MIT UPPER INSERT,125MMX11-1/4 MIT UPPER INSERT,Jaw Inserts,shared,ea,555.00
12142107,125mmx11-1/4 mit upper insert,125mmx11-1/4 mit upper insert,Jaw Inserts,shared,ea,874.00
8078123,125MMX5-5/8 MIT INSERT SET,125MMX5-5/8 MIT INSERT SET,Jaw Inserts,shared,ea,1514.00
8078121,125mmx5-5/8 mit lower insert,125mmx5-5/8 mit lower insert,Jaw Inserts,shared,ea,681.00
8078122,125mmx5-5/8 mit upper insert,125mmx5-5/8 mit upper insert,Jaw Inserts,shared,ea,681.00
2411824,12DIPS LOWER INSERT,12DIPS LOWER INSERT,Jaw Inserts,shared,ea,557.00
2411825,12DIPS UPPER INSERT,12DIPS UPPER INSERT,Jaw Inserts,shared,ea,450.00
24206110,12dipsx11-1/4 mit insert set,12dipsx11-1/4 mit insert set,Jaw Inserts,shared,ea,6963.00
24206108,12DIPSX11-1/4 MIT LOWER INSERT,12DIPSX11-1/4 MIT LOWER INSERT,Jaw Inserts,shared,ea,1238.00
24206109,12DIPSX11-1/4 MIT UPPER INSERT,12DIPSX11-1/4 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
24206113,12dipsx15 mit insert set,12dipsx15 mit insert set,Jaw Inserts,shared,ea,6963.00
24206111,12DIPSX15 MIT LOWER INSERT,12DIPSX15 MIT LOWER INSERT,Jaw Inserts,shared,ea,1238.00
24206112,12DIPSX15 MIT UPPER INSERT,12DIPSX15 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
24206131,12dipsx22-1/2 mit insert set,12dipsx22-1/2 mit insert set,Jaw Inserts,shared,ea,6963.00
24206129,12dipsx22-1/2 mit lower insert,12dipsx22-1/2 mit lower insert,Jaw Inserts,shared,ea,1935.00
24206130,12dipsx22-1/2 mit upper insert,12dipsx22-1/2 mit upper insert,Jaw Inserts,shared,ea,1935.00
2411802,12ips lower master insert,12ips lower master insert,Jaw Inserts,shared,ea,779.00
835804,12IPS SIDEWALL INSERT,12IPS SIDEWALL INSERT,Jaw Inserts,shared,ea,207.00
835814,12ips sidewall insert set,12ips sidewall insert set,Jaw Inserts,shared,ea,424.00
2411803,12ips upper master insert,12ips upper master insert,Jaw Inserts,shared,ea,779.00
1203101,12ips/dips master insert,12ips/dips master insert,Jaw Inserts,shared,ea,363.00
2420615,12ipsx11-1/4 mit insert set,12ipsx11-1/4 mit insert set,Jaw Inserts,shared,ea,6963.00
2420604,12ipsx11-1/4 mit lower insert,12ipsx11-1/4 mit lower insert,Jaw Inserts,shared,ea,1935.00
2420605,12IPSX11-1/4 MIT UPPER INSERT,12IPSX11-1/4 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
2420675,12IPSX15 MIT INSERT SET,12IPSX15 MIT INSERT SET,Jaw Inserts,shared,ea,3791.00
2420656,12IPSX15 MIT LOWER INSERT,12IPSX15 MIT LOWER INSERT,Jaw Inserts,shared,ea,1238.00
2420657,12IPSX15 MIT UPPER INSERT,12IPSX15 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
2420681,12ipsx22-1/2 mit insert set,12ipsx22-1/2 mit insert set,Jaw Inserts,shared,ea,6963.00
2420668,12IPSX22-1/2 MIT LOWER INSERT,12IPSX22-1/2 MIT LOWER INSERT,Jaw Inserts,shared,ea,1264.00
2420669,12IPSX22-1/2 MIT UPPER INSERT,12IPSX22-1/2 MIT UPPER INSERT,Jaw Inserts,shared,ea,1238.00
24206134,12IPSX7-1/2 MIT INSERT SET,12IPSX7-1/2 MIT INSERT SET,Jaw Inserts,shared,ea,3791.00
2411823,13.525 OD INSERT SET,13.525 OD INSERT SET,Jaw Inserts,shared,ea,3041.00
2411821,13.525 OD LOWER INSERT,13.525 OD LOWER INSERT,Jaw Inserts,shared,ea,770.00
2411822,13.525 OD UPPER INSERT,13.525 OD UPPER INSERT,Jaw Inserts,shared,ea,770.00
809443,135MM 2J INSERT SET,135MM 2J INSERT SET,Jaw Inserts,shared,ea,329.00
427902,14 DOW-PVDF/PP 1-1/2IPS INSERT,14 DOW-PVDF/PP 1-1/2IPS INSERT,Jaw Inserts,shared,ea,154.00
